episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-309.5153127185849,-380.9098839199982,-340.7099360160485,400.0,61,25200,False,529200,1321,21,774b24d199954f7685399f3f1314ee19,2020-12-01_02-32-24,1606770144,193.07094860076904,4318.839150905609,9587,Rambo,192.168.1.15,4318.839150905609,529200,21,5,42ffd60e,0,33.82221010638657,3.5656835933138518,1.7047914012254517,526848,529200,190627.987,114.172,3628.067,4.202,65.78436363636362,64.2429090909091,0.0062500000931322575,4.999999873689376e-05,479.46988,-0.015250461,479.48502,-1.5205267e-09,0.014274551,11.768134,0.0
-303.6208731286584,-376.10290328720845,-341.86548069372344,400.0,65,25200,False,554400,1386,22,774b24d199954f7685399f3f1314ee19,2020-12-01_02-35-39,1606770339,194.46611380577087,4513.30526471138,9587,Rambo,192.168.1.15,4513.30526471138,554400,22,5,42ffd60e,0,33.73998291303504,3.5628197569754274,1.6985323837557809,551936,554400,190483.879,113.491,3685.868,4.543,65.83992805755396,64.4208633093525,0.0062500000931322575,4.999999873689376e-05,489.6345,-0.012406473,489.64676,6.0821065e-10,0.01339909,11.618237,0.0
-303.6714376634843,-373.17083094160796,-341.3554297277576,400.0,61,25200,False,579600,1447,23,774b24d199954f7685399f3f1314ee19,2020-12-01_02-38-54,1606770534,195.34913897514343,4708.654403686523,9587,Rambo,192.168.1.15,4708.654403686523,579600,23,5,42ffd60e,0,33.671984549283,3.558854745440477,1.6932247249228058,577024,579600,190458.454,112.502,3716.095,4.496,65.55863309352519,64.5654676258993,0.0062500000931322575,4.999999873689376e-05,498.11337,-0.013413619,498.12668,-9.12316e-10,0.013593204,11.57694,0.0
-308.18998122209797,-374.51169783751584,-342.251612704348,400.0,65,25200,False,604800,1512,24,774b24d199954f7685399f3f1314ee19,2020-12-01_02-42-09,1606770729,194.79822301864624,4903.45262670517,9587,Rambo,192.168.1.15,4903.45262670517,604800,24,5,42ffd60e,0,33.605908559779806,3.5562801690272057,1.6879374884481642,602112,604800,190509.299,109.435,3588.159,4.472,65.93129496402878,64.7388489208633,0.0062500000931322575,4.999999873689376e-05,520.6535,-0.013500549,520.66693,-1.5205267e-09,0.013424791,11.553014,0.0
-308.18998122209797,-394.8275441189061,-343.15495154539633,400.0,61,25200,False,630000,1573,25,774b24d199954f7685399f3f1314ee19,2020-12-01_02-45-23,1606770923,194.33964824676514,5097.792274951935,9587,Rambo,192.168.1.15,5097.792274951935,630000,25,5,42ffd60e,0,33.54546191363629,3.5520289238812186,1.6833318942684814,627200,630000,190120.261,113.811,3879.541,4.909,65.67589928057555,65.06115107913669,0.0062500000931322575,4.999999873689376e-05,522.3906,-0.01521387,522.4057,-9.12316e-10,0.017235905,11.605741,0.0
-314.3418563573666,-371.6607522191943,-342.48346919073776,400.0,65,25200,False,655200,1638,26,774b24d199954f7685399f3f1314ee19,2020-12-01_02-48-37,1606771117,193.87941694259644,5291.671691894531,9587,Rambo,192.168.1.15,5291.671691894531,655200,26,5,42ffd60e,0,33.48213153362764,3.5497790184163485,1.6784014611219618,652288,655200,190122.512,114.021,3922.644,5.362,66.00326086956522,65.29710144927536,0.0062500000931322575,4.999999873689376e-05,540.0172,-0.013398663,540.0305,-5.778001e-09,0.013515183,11.489315,0.0
-316.91483213212973,-376.1563830704319,-343.6231920173557,400.0,61,25200,False,680400,1699,27,774b24d199954f7685399f3f1314ee19,2020-12-01_02-51-52,1606771312,194.73055863380432,5486.402250528336,9587,Rambo,192.168.1.15,5486.402250528336,680400,27,5,42ffd60e,0,33.43340585284902,3.546486438207411,1.674503843379686,677376,680400,190268.057,112.174,3672.251,5.303,65.44028776978416,65.46546762589928,0.0062500000931322575,4.999999873689376e-05,560.9805,-0.017267497,560.9976,-6.690317e-09,0.018051645,11.537891,0.0
-321.86269620676836,-389.4069904241399,-347.9562713109254,400.0,65,25200,False,705600,1764,28,774b24d199954f7685399f3f1314ee19,2020-12-01_02-55-07,1606771507,194.958801984787,5681.361052513123,9587,Rambo,192.168.1.15,5681.361052513123,705600,28,5,42ffd60e,0,33.38604586191107,3.5452262029325765,1.6704766202846644,702464,705600,190487.695,106.388,3535.332,5.542,66.08129496402877,65.68776978417264,0.0062500000931322575,4.999999873689376e-05,592.3236,-0.0151876565,592.33875,-8.210844e-09,0.014146189,11.425383,0.0
-313.8172396746067,-385.989484550239,-347.29079674575735,400.0,61,25200,False,730800,1825,29,774b24d199954f7685399f3f1314ee19,2020-12-01_02-58-23,1606771703,195.61678743362427,5876.977839946747,9587,Rambo,192.168.1.15,5876.977839946747,730800,29,5,42ffd60e,0,33.339971468771225,3.5421199196019346,1.6668741081500105,727552,730800,190504.878,105.517,3651.97,5.923,65.46917562724015,65.8347670250896,0.0062500000931322575,4.999999873689376e-05,584.9488,-0.016491603,584.9653,-6.386212e-09,0.016248044,11.398781,0.0
-313.44109102400125,-384.1897084216515,-343.9317508647023,400.0,65,25200,False,756000,1890,30,774b24d199954f7685399f3f1314ee19,2020-12-01_03-01-36,1606771896,193.38025856018066,6070.3580985069275,9587,Rambo,192.168.1.15,6070.3580985069275,756000,30,5,42ffd60e,0,33.29558958118598,3.5406706777116916,1.6634519799175254,752640,756000,190677.068,105.259,3655.668,6.28,66.0126811594203,66.0018115942029,0.0062500000931322575,4.999999873689376e-05,605.9719,-0.015278044,605.98706,-6.082107e-09,0.015448539,11.287798,0.0
